id,special_area_name,special_area_id,category,density
032B-0,NA,NA,Single_Family_Density,1 unit per parcel
045-0,NA,NA,Single_Family_Density,"NA"
048-0,NA,NA,Single_Family_Density,1 unit per parcel
054-0,NA,NA,Single_Family_Density,1 unit per parcel
113-0,NA,NA,Single_Family_Density,1 unit per parcel
032B-0,NA,NA,Multi_Family_Density,0
045-0,NA,NA,Multi_Family_Density,15
048-0,NA,NA,Multi_Family_Density,15
054-0,NA,NA,Multi_Family_Density,15
113-0,NA,NA,Multi_Family_Density,15
032B-0,NA,NA,Tourist_Accommodation_Density,"NA"
045-0,NA,NA,Tourist_Accommodation_Density,40 units per acre if less than 10% have kitchens
048-0,NA,NA,Tourist_Accommodation_Density,40 units per acre if less than 10% have kitchens
054-0,NA,NA,Tourist_Accommodation_Density,40 units per acre if less than 10% have kitchens
113-0,NA,NA,Tourist_Accommodation_Density,40 units per acre if less than 10% have kitchens
032B-0,NA,NA,Bed_Breakfast_Density,"NA"
045-0,NA,NA,Bed_Breakfast_Density,5 units per acre
048-0,NA,NA,Bed_Breakfast_Density,10 units per acre
054-0,NA,NA,Bed_Breakfast_Density,10 units per acre
113-0,NA,NA,Bed_Breakfast_Density,10 units per acre
032B-0,NA,NA,Time_Share_Density,"NA"
045-0,NA,NA,Time_Share_Density,40 units per acre if less than 10% have kitchens
048-0,NA,NA,Time_Share_Density,40 units per acre if less than 10% have kitchens
054-0,NA,NA,Time_Share_Density,40 units per acre if hotel-motel design
113-0,NA,NA,Time_Share_Density,15 units per acre
area_plan_1,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_2,NA,NA,Single_Family_Density,"NA"
area_plan_3,NA,NA,Single_Family_Density,"NA"
area_plan_4,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_5,NA,NA,Single_Family_Density,"NA"
area_plan_6,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_7,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_8,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_9,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_10,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_11,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_12,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_13,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_14,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_15,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_16,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_17,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_18,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_19,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_20,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_21,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_22,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_23,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_24,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_25,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_26,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_27,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_28,NA,NA,Single_Family_Density,"NA"
area_plan_29,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_30,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_31,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_32,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_33,NA,NA,Single_Family_Density,See Homewood Master Plan
area_plan_34,NA,NA,Single_Family_Density,"NA"
area_plan_35,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_36,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_37,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_38,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_39,LAKE FOREST COMMERCIAL SA #1-COM/PS,1,Single_Family_Density,NA
area_plan_40,LAKE FOREST COMMERCIAL SA #2-COM/PS,2,Single_Family_Density,NA
area_plan_41,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_42,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_43,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_44,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_45,NA,NA,Single_Family_Density,"NA"
area_plan_46,MARTIS PEAK SA #1-CONS,1,Single_Family_Density,NA
area_plan_47,NA,NA,Single_Family_Density,"NA"
area_plan_48,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_49,NA,NA,Single_Family_Density,"NA"
area_plan_50,NA,NA,Single_Family_Density,"Permitted if existing, no new"
area_plan_51,NA,NA,Single_Family_Density,"Permitted if existing, no new"
area_plan_52,NA,NA,Single_Family_Density,"Permitted if existing, no new"
area_plan_53,NA,NA,Single_Family_Density,"Permitted if existing, no new"
area_plan_54,NA,NA,Single_Family_Density,"Permitted if existing, no new"
area_plan_55,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_56,NORTH TAHOE HIGH SCHOOL SA#1-REC,1,Single_Family_Density,NA
area_plan_57,NA,NA,Single_Family_Density,"NA"
area_plan_58,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_59,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_60,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_61,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_62,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_63,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_64,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_65,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_66,NA,NA,Single_Family_Density,1 unit per parcel
area_plan_67,NA,NA,Single_Family_Density,"NA"
area_plan_68,NA,NA,Single_Family_Density,"NA"
area_plan_69,NA,NA,Single_Family_Density,1 unit per parcel
