"","ZONING_ID","old_id","use","use_final","use1","use2","use3","density_num","density_unit","note"
"1","MAP_1_SA2","area_plan_1","Special Use","Nursing and personal care","residential","Residential","Nursing and personal care",25,"persons per acre per parcel",NA
"2","MAP_1_SA2","area_plan_1","Special Use","Employee housing","residential","Residential","Employee housing",NA,NA,"no employee housing density in area plan"
"3","MAP_1_SA2","area_plan_1","Allowed","Single family dwelling","residential","Residential","Single family dwelling",1,"units per acre per parcel",NA
"4","MAP_1_SA2","area_plan_1","Allowed","Multiple family dwelling","residential","Residential","Multiple family dwelling",20,"units per acre per parcel",NA
"5","MAP_1_SA2","area_plan_1","Special Use","Multi-person dwelling","residential","Residential","Multi-person dwelling",25,"persons per acre per parcel",NA
"6","MAP_1_SA2","area_plan_1","Allowed","Bed and breakfast facilities","tourist accommodation","Tourist Accommodation","Bed and breakfast facilities",NA,NA,NA
"7","MAP_1_SA2","area_plan_1","Special Use","Hotel, motel, and other transient dwelling units","tourist accommodation","Tourist Accommodation","Hotel, motel, and other transient dwelling units",NA,NA,NA
"8","MAP_1_SA2","area_plan_1","Allowed","General merchandise stores","commercial","Retail","General merchandise stores",NA,NA,NA
"9","MAP_1_SA2","area_plan_1","Allowed","Mail order and vending","commercial","Retail","Mail order and vending",NA,NA,NA
"10","MAP_1_SA2","area_plan_1","Allowed","Building materials and hardware","commercial","Retail","Building materials and hardware",NA,NA,NA
"11","MAP_1_SA2","area_plan_1","Allowed","Nursery","commercial","Retail","Nursery",NA,NA,NA
"12","MAP_1_SA2","area_plan_1","Special Use","Outdoor retail sales","commercial","Retail","Outdoor retail sales",NA,NA,NA
"13","MAP_1_SA2","area_plan_1","Allowed","Eating and drinking places","commercial","Retail","Eating and drinking places",NA,NA,NA
"14","MAP_1_SA2","area_plan_1","Special Use","Service stations","commercial","Retail","Service stations",NA,NA,NA
"15","MAP_1_SA2","area_plan_1","Allowed","Food and beverage retail sales","commercial","Retail","Food and beverage retail sales",NA,NA,NA
"16","MAP_1_SA2","area_plan_1","Allowed","Furniture, home furnishings, and equipment","commercial","Retail","Furniture, home furnishings, and equipment",NA,NA,NA
"17","MAP_1_SA2","area_plan_1","Allowed","Amusements and recreation services","commercial","Entertainment","Amusements and recreation services",NA,NA,NA
"18","MAP_1_SA2","area_plan_1","Special Use","Outdoor amusements","commercial","Entertainment","Outdoor amusements",NA,NA,NA
"19","MAP_1_SA2","area_plan_1","Special Use","Privately owned assembly and entertainment","commercial","Entertainment","Privately owned assembly and entertainment",NA,NA,NA
"20","MAP_1_SA2","area_plan_1","Special Use","Animal husbandry services","commercial","Services","Animal husbandry services",NA,NA,NA
"21","MAP_1_SA2","area_plan_1","Allowed","Personal services","commercial","Services","Personal services",NA,NA,NA
"22","MAP_1_SA2","area_plan_1","Special Use","Auto repair and service","commercial","Services","Auto repair and service",NA,NA,NA
"23","MAP_1_SA2","area_plan_1","Allowed","Professional offices","commercial","Services","Professional offices",NA,NA,NA
"24","MAP_1_SA2","area_plan_1","Allowed","Broadcasting studios","commercial","Services","Broadcasting studios",NA,NA,NA
"25","MAP_1_SA2","area_plan_1","Special Use","Repair services","commercial","Services","Repair services",NA,NA,NA
"26","MAP_1_SA2","area_plan_1","Allowed","Business support services","commercial","Services","Business support services",NA,NA,NA
"27","MAP_1_SA2","area_plan_1","Special Use","Contract construction services","commercial","Services","Contract construction services",NA,NA,NA
"28","MAP_1_SA2","area_plan_1","Special Use","Schools - business and vocational","commercial","Services","Schools - business and vocational",NA,NA,NA
"29","MAP_1_SA2","area_plan_1","Allowed","Financial services","commercial","Services","Financial services",NA,NA,NA
"30","MAP_1_SA2","area_plan_1","Special Use","Secondary storage","commercial","Services","Secondary storage",NA,NA,NA
"31","MAP_1_SA2","area_plan_1","Allowed","Health care services","commercial","Services","Health care services",NA,NA,NA
"32","MAP_1_SA2","area_plan_1","Special Use","Laundries and dry cleaning plants","commercial","Services","Laundries and dry cleaning plants",NA,NA,NA
"33","MAP_1_SA2","area_plan_1","Special Use","Printing and publishing","commercial","Light Industrial","Printing and publishing",NA,NA,NA
"34","MAP_1_SA2","area_plan_1","Special Use","Food and kindred products","commercial","Light Industrial","Food and kindred products",NA,NA,NA
"35","MAP_1_SA2","area_plan_1","Special Use","Small scale manufacturing","commercial","Light Industrial","Small scale manufacturing",NA,NA,NA
"36","MAP_1_SA2","area_plan_1","Special Use","Warehousing","commercial","Wholesale/Storage","Warehousing",NA,NA,NA
"37","MAP_1_SA2","area_plan_1","Special Use","Wholesale and distribution","commercial","Wholesale/Storage","Wholesale and distribution",NA,NA,NA
"38","MAP_1_SA2","area_plan_1","Special Use","Vehicle storage and parking","commercial","Wholesale/Storage","Vehicle storage and parking",NA,NA,NA
"39","MAP_1_SA2","area_plan_1","Allowed","Local public health and safety facilities","public services","General","Local public health and safety facilities",NA,NA,NA
"40","MAP_1_SA2","area_plan_1","Allowed","Membership organizations","public services","General","Membership organizations",NA,NA,NA
"41","MAP_1_SA2","area_plan_1","Allowed","Churches (Religious Assembly)","public services","General","Churches (Religious Assembly)",NA,NA,NA
"42","MAP_1_SA2","area_plan_1","Special Use","Publicly owned assembly and entertainment","public services","General","Publicly owned assembly and entertainment",NA,NA,NA
"43","MAP_1_SA2","area_plan_1","Special Use","Collection stations","public services","General","Collection stations",NA,NA,NA
"44","MAP_1_SA2","area_plan_1","Allowed","Cultural facilities","public services","General","Cultural facilities",NA,NA,NA
"45","MAP_1_SA2","area_plan_1","Special Use","Public utility centers","public services","General","Public utility centers",NA,NA,NA
"46","MAP_1_SA2","area_plan_1","Allowed","Day care centers / pre-schools","public services","General","Day care centers / pre-schools",NA,NA,NA
"47","MAP_1_SA2","area_plan_1","Special Use","Regional public health and safety facilities","public services","General","Regional public health and safety facilities",NA,NA,NA
"48","MAP_1_SA2","area_plan_1","Allowed","Government offices","public services","General","Government offices",NA,NA,NA
"49","MAP_1_SA2","area_plan_1","Special Use","Hospitals","public services","General","Hospitals",NA,NA,NA
"50","MAP_1_SA2","area_plan_1","Special Use","Schools - college","public services","General","Schools - college",NA,NA,NA
"51","MAP_1_SA2","area_plan_1","Allowed","Local assembly and entertainment","public services","General","Local assembly and entertainment",NA,NA,NA
"52","MAP_1_SA2","area_plan_1","Special Use","Schools - kindergarten through secondary","public services","General","Schools - kindergarten through secondary",NA,NA,NA
"53","MAP_1_SA2","area_plan_1","Allowed","Local post office","public services","General","Local post office",NA,NA,NA
"54","MAP_1_SA2","area_plan_1","Allowed","Social service organizations","public services","General","Social service organizations",NA,NA,NA
"55","MAP_1_SA2","area_plan_1","Special Use","Pipelines and power transmission","public services","Linear Public Facilities","Pipelines and power transmission",NA,NA,NA
"56","MAP_1_SA2","area_plan_1","Special Use","Transportation routes","public services","Linear Public Facilities","Transportation routes",NA,NA,NA
"57","MAP_1_SA2","area_plan_1","Allowed","Transit stations and terminals","public services","Linear Public Facilities","Transit stations and terminals",NA,NA,NA
"58","MAP_1_SA2","area_plan_1","Special Use","Transmission and receiving facilities","public services","Linear Public Facilities","Transmission and receiving facilities",NA,NA,NA
"59","MAP_1_SA2","area_plan_1","Allowed","Outdoor recreation concessions","recreation","Recreation","Outdoor recreation concessions",NA,NA,NA
