OBJECTID,Zoning_ID,Category,Subcategory,Use_Type,Use_Status,Density,Unit,Notes
1,MAP_1,Residential,Residential,Nursing and Personal Care,Conditional Use,25,persons per acre,NA
2,MAP_1,Residential,Residential,Employee Housing,Conditional Use,,NA,One employee housing unit allowed without a CUP per commercial building with at least 1000 sq. ft. of CFA.
5,MAP_1,Residential,Residential,Multi-Person Dwelling,Conditional Use,25,persons per acre,NA
7,MAP_1,Tourist Accommodation,Tourist Accommodation,"Hotel, Motel, and Other Transient Dwelling Units",Conditional Use,30,units per acre,NA
12,MAP_1,Commercial,Retail,Outdoor Retail Sales,Conditional Use,,NA,NA
14,MAP_1,Commercial,Retail,Service Stations,Conditional Use,,NA,NA
18,MAP_1,Commercial,Entertainment,Outdoor Amusements,Conditional Use,,NA,NA
19,MAP_1,Commercial,Entertainment,Privately Owned Assembly and Entertainment,Conditional Use,,NA,NA
20,MAP_1,Commercial,Services,Animal Husbandry Services,Conditional Use,,NA,NA
22,MAP_1,Commercial,Services,Auto Repair and Service,Conditional Use,,NA,NA
25,MAP_1,Commercial,Services,Repair Services,Conditional Use,,NA,NA
27,MAP_1,Commercial,Services,Contract Construction Services,Conditional Use,,NA,NA
28,MAP_1,Commercial,Services,Schools - Business and Vocational,Conditional Use,,NA,NA
30,MAP_1,Commercial,Services,Secondary Storage,Conditional Use,,NA,Applies only to parcels on Santa Fe Road.
32,MAP_1,Commercial,Services,Laundries and Dry Cleaning Plant,Conditional Use,,NA,NA
33,MAP_1,Commercial,Light Industrial,Printing and Publishing,Conditional Use,,NA,These uses are not allowed within the portion of the ground floor of a structure that faces the primary entry point for projects adjacent to US 50. This restriction may be waived if the Meyers Advisory Council and the Planning Commission find that the use is otherwise consistent with the intent of the Meyers Area Plan.
34,MAP_1,Commercial,Light Industrial,Food and Kindred Products,Conditional Use,,NA,"These uses are not allowed within the portion of the ground floor of a structure that faces the primary entry point for projects adjacent to US 50. This restriction may be waived if the Meyers Advisory Council and the Planning Commission find that the use is otherwise consistent with the intent of the Meyers Area Plan.
"
35,MAP_1,Commercial,Light Industrial,Small Scale Manufacturing,Conditional Use,,NA,These uses are not allowed within the portion of the ground floor of a structure that faces the primary entry point for projects adjacent to US 50. This restriction may be waived if the Meyers Advisory Council and the Planning Commission find that the use is otherwise consistent with the intent of the Meyers Area Plan.
36,MAP_1,Commercial,Wholesale/Storage,Warehousing,Conditional Use,,NA,These uses are not allowed within the portion of the ground floor of a structure that faces the primary entry point for projects adjacent to US 50. This restriction may be waived if the Meyers Advisory Council and the Planning Commission find that the use is otherwise consistent with the intent of the Meyers Area Plan.
37,MAP_1,Commercial,Wholesale/Storage,Wholesale and Distribution,Conditional Use,,NA,These uses are not allowed within the portion of the ground floor of a structure that faces the primary entry point for projects adjacent to US 50. This restriction may be waived if the Meyers Advisory Council and the Planning Commission find that the use is otherwise consistent with the intent of the Meyers Area Plan.
38,MAP_1,Commercial,Wholesale/Storage,Vehicle Storage and Parking,Conditional Use,,NA,These uses are not allowed within the portion of the ground floor of a structure that faces the primary entry point for projects adjacent to US 50. This restriction may be waived if the Meyers Advisory Council and the Planning Commission find that the use is otherwise consistent with the intent of the Meyers Area Plan.
